方向,排名,題材,熱度Δ,市場,代碼,XQ代碼,公司,當週排行
上升,10,功率半導體,1.05,陸,sh688396,688396.SH,華潤微,165
上升,10,功率半導體,1.05,陸,sz300373,300373.SZ,揚傑科技,172
上升,10,功率半導體,1.05,陸,sz300661,300661.SZ,聖邦股份,191
上升,10,功率半導體,1.05,陸,sh688141,688141.SH,傑華特,214
上升,11,生技醫藥,0.73,台,6446,6446.TW,,64
上升,11,生技醫藥,0.73,美,LLY,LLY.US,禮來(Eli Lilly),30
上升,11,生技醫藥,0.73,美,JNJ,JNJ.US,嬌生(Johnson & Johnson),61
上升,11,生技醫藥,0.73,美,ABBV,ABBV.US,艾伯維(AbbVie),69
上升,11,生技醫藥,0.73,美,UNH,UNH.US,聯合健康(UnitedHealth),75
上升,11,生技醫藥,0.73,美,ISRG,ISRG.US,直覺外科(Intuitive Surgical),96
上升,11,生技醫藥,0.73,日,4568,4568.JP,第一三共,38
上升,11,生技醫藥,0.73,日,4502,4502.JP,武田藥品,63
上升,11,生技醫藥,0.73,日,4519,4519.JP,中外製藥,66
上升,11,生技醫藥,0.73,日,4543,4543.JP,泰爾茂(Terumo),92
上升,11,生技醫藥,0.73,日,4503,4503.JP,安斯泰來(Astellas),111
上升,11,生技醫藥,0.73,韓,068270,068270.KS,Celltrion,33
上升,11,生技醫藥,0.73,韓,196170,196170.KS,Alteogen,37
上升,11,生技醫藥,0.73,韓,347850,347850.KS,D&D Pharmatech,50
上升,11,生技醫藥,0.73,韓,128940,128940.KS,韓美藥品,52
上升,11,生技醫藥,0.73,韓,207940,207940.KS,三星生物製劑,73
上升,11,生技醫藥,0.73,陸,sh603259,603259.SH,藥明康德,43
上升,11,生技醫藥,0.73,陸,sh600276,600276.SH,恆瑞醫藥,81
上升,11,生技醫藥,0.73,陸,sh688331,688331.SH,榮昌生物,333
上升,11,生技醫藥,0.73,陸,sz300558,300558.SZ,貝達藥業,348
上升,11,生技醫藥,0.73,陸,sz300760,300760.SZ,邁瑞醫療,409
上升,12,航運,0.41,台,2603,2603.TW,,57
上升,12,航運,0.41,台,2609,2609.TW,,113
上升,12,航運,0.41,台,2615,2615.TW,,129
上升,12,航運,0.41,台,2618,2618.TW,,141
上升,12,航運,0.41,台,2610,2610.TW,,211
上升,12,航運,0.41,日,9107,9107.JP,川崎汽船,114
上升,12,航運,0.41,日,9104,9104.JP,商船三井,118
上升,12,航運,0.41,日,9101,9101.JP,日本郵船,125
上升,12,航運,0.41,韓,003490,003490.KS,大韓航空,48
上升,12,航運,0.41,韓,011200,011200.KS,HMM,221
上升,12,航運,0.41,韓,028670,028670.KS,Pan Ocean,298
上升,12,航運,0.41,陸,sh601872,601872.SH,招商輪船,254
上升,12,航運,0.41,陸,sh600026,600026.SH,中遠海能,439
上升,12,航運,0.41,陸,sh601919,601919.SH,中遠海控,464
上升,13,散熱/結構件,0.26,台,3017,3017.TW,,18
上升,13,散熱/結構件,0.26,台,3653,3653.TW,,69
上升,13,散熱/結構件,0.26,台,3376,3376.TW,,105
上升,13,散熱/結構件,0.26,台,2474,2474.TW,,109
上升,13,散熱/結構件,0.26,台,3324,3324.TW,,163
上升,13,散熱/結構件,0.26,台,2351,2351.TW,,229
上升,13,散熱/結構件,0.26,陸,sz300602,300602.SZ,飛榮達,553
上升,14,觸控面板,0.17,台,3673,3673.TW,,94
上升,15,IC通路,0.07,台,8112,8112.TW,,95
上升,15,IC通路,0.07,台,3036,3036.TW,,143
上升,15,IC通路,0.07,台,2347,2347.TW,,215
上升,15,IC通路,0.07,台,3702,3702.TW,,233
上升,15,IC通路,0.07,韓,031330,031330.KS,Samtech,192
上升,15,IC通路,0.07,陸,sz300475,300475.SZ,香農芯創,45
上升,15,IC通路,0.07,陸,sz300975,300975.SZ,商絡電子,175
上升,15,IC通路,0.07,陸,sz300903,300903.SZ,科翔股份,309
下降,16,PCB/CCL,-6.64,台,2383,2383.TW,,11
下降,16,PCB/CCL,-6.64,台,3037,3037.TW,,12
下降,16,PCB/CCL,-6.64,台,8046,8046.TW,,13
下降,16,PCB/CCL,-6.64,台,6274,6274.TW,,15
下降,16,PCB/CCL,-6.64,台,4958,4958.TW,,17
下降,16,PCB/CCL,-6.64,台,6213,6213.TW,,23
下降,16,PCB/CCL,-6.64,台,2368,2368.TW,,34
下降,16,PCB/CCL,-6.64,台,2313,2313.TW,,35
下降,16,PCB/CCL,-6.64,台,8358,8358.TW,,62
下降,16,PCB/CCL,-6.64,台,3189,3189.TW,,98
下降,16,PCB/CCL,-6.64,台,8039,8039.TW,,178
下降,16,PCB/CCL,-6.64,台,2302,2302.TW,,210
下降,16,PCB/CCL,-6.64,台,3044,3044.TW,,225
下降,16,PCB/CCL,-6.64,台,3715,3715.TW,,257
下降,16,PCB/CCL,-6.64,美,TTMI,TTMI.US,TTM Technologies,277
下降,16,PCB/CCL,-6.64,日,4062,4062.JP,Ibiden,8
下降,16,PCB/CCL,-6.64,日,2802,2802.JP,味之素,57
下降,16,PCB/CCL,-6.64,日,3110,3110.JP,日東紡,75
下降,16,PCB/CCL,-6.64,日,6787,6787.JP,名幸電子(Meiko),87
下降,16,PCB/CCL,-6.64,韓,353200,353200.KS,大德電子,42
下降,16,PCB/CCL,-6.64,韓,007660,007660.KS,Isu Petasys,44
下降,16,PCB/CCL,-6.64,韓,222800,222800.KS,心傳(Simmtech),47
下降,16,PCB/CCL,-6.64,韓,007810,007810.KS,Korea Circuit,171
下降,16,PCB/CCL,-6.64,韓,090460,090460.KS,BH,300
下降,16,PCB/CCL,-6.64,陸,sz002384,002384.SZ,東山精密,5
下降,16,PCB/CCL,-6.64,陸,sh600176,600176.SH,中國巨石,8
下降,16,PCB/CCL,-6.64,陸,sh600183,600183.SH,生益科技,22
下降,16,PCB/CCL,-6.64,陸,sz002463,002463.SZ,滬電股份,26
下降,16,PCB/CCL,-6.64,陸,sz301526,301526.SZ,國際復材,28
下降,17,品牌3C,-3.95,台,2357,2357.TW,,116
下降,17,品牌3C,-3.95,台,2377,2377.TW,,170
下降,17,品牌3C,-3.95,台,2353,2353.TW,,206
下降,17,品牌3C,-3.95,日,6758,6758.JP,索尼集團,18
下降,17,品牌3C,-3.95,日,6752,6752.JP,松下控股,21
下降,17,品牌3C,-3.95,日,7751,7751.JP,佳能(Canon),96
下降,17,品牌3C,-3.95,日,6724,6724.JP,愛普生(Epson),225
下降,17,品牌3C,-3.95,日,6448,6448.JP,兄弟工業(Brother),426
下降,17,品牌3C,-3.95,韓,005930,005930.KS,三星電子,2
下降,17,品牌3C,-3.95,韓,066570,066570.KS,LG電子,15
下降,18,CPO/光通訊,-3.61,台,2330,2330.TW,,1
下降,18,CPO/光通訊,-3.61,台,3081,3081.TW,,53
下降,18,CPO/光通訊,-3.61,台,4979,4979.TW,,55
下降,18,CPO/光通訊,-3.61,台,3363,3363.TW,,104
下降,18,CPO/光通訊,-3.61,台,3450,3450.TW,,223
下降,18,CPO/光通訊,-3.61,台,3163,3163.TW,,238
下降,18,CPO/光通訊,-3.61,美,AVGO,AVGO.US,博通,12
下降,18,CPO/光通訊,-3.61,美,MRVL,MRVL.US,邁威爾科技,13
下降,18,CPO/光通訊,-3.61,美,TSM,TSM.US,台積電ADR,16
下降,18,CPO/光通訊,-3.61,美,GLW,GLW.US,康寧(Corning),29
下降,18,CPO/光通訊,-3.61,美,LITE,LITE.US,朗美通(Lumentum),31
下降,18,CPO/光通訊,-3.61,日,5803,5803.JP,藤倉(Fujikura),7
下降,18,CPO/光通訊,-3.61,日,5802,5802.JP,住友電工,22
下降,18,CPO/光通訊,-3.61,日,6965,6965.JP,濱松光子(Hamamatsu Photonics),143
下降,18,CPO/光通訊,-3.61,日,6613,6613.JP,QD Laser,154
下降,18,CPO/光通訊,-3.61,日,6779,6779.JP,日本電波工業,247
下降,18,CPO/光通訊,-3.61,韓,010170,010170.KS,大韓光通訊,55
下降,18,CPO/光通訊,-3.61,陸,sz300308,300308.SZ,中際旭創,2
下降,18,CPO/光通訊,-3.61,陸,sz300502,300502.SZ,新易盛,4
下降,18,CPO/光通訊,-3.61,陸,sh600487,600487.SH,亨通光電,10
下降,18,CPO/光通訊,-3.61,陸,sh600522,600522.SH,中天科技,23
