熱度排名,題材,熱度分,市場,代碼,XQ代碼,公司,排名
9,傳統產業,3426,韓,047040,047040.KS,大宇建設,72
9,傳統產業,3426,韓,006360,006360.KS,GS建設,83
9,傳統產業,3426,陸,sz002407,002407.SZ,多氟多,24
9,傳統產業,3426,陸,sh600160,600160.SH,巨化股份,63
9,傳統產業,3426,陸,sh603650,603650.SH,彤程新材,147
9,傳統產業,3426,陸,sh601208,601208.SH,東材科技,164
9,傳統產業,3426,陸,sh605020,605020.SH,永和股份,178
10,被動元件,3230,台,2327,2327.TW,,3
10,被動元件,3230,台,3042,3042.TW,,9
10,被動元件,3230,台,3026,3026.TW,,14
10,被動元件,3230,台,2484,2484.TW,,24
10,被動元件,3230,台,6173,6173.TW,,27
10,被動元件,3230,台,2375,2375.TW,,39
10,被動元件,3230,台,2472,2472.TW,,51
10,被動元件,3230,台,2493,2493.TW,,88
10,被動元件,3230,台,2486,2486.TW,,99
10,被動元件,3230,台,2492,2492.TW,,183
10,被動元件,3230,台,6449,6449.TW,,204
10,被動元件,3230,台,6284,6284.TW,,230
10,被動元件,3230,美,VSH,VSH.US,Vishay,288
10,被動元件,3230,日,6976,6976.JP,太陽誘電,2
10,被動元件,3230,日,6981,6981.JP,村田製作所,5
10,被動元件,3230,日,6762,6762.JP,TDK,33
10,被動元件,3230,日,6997,6997.JP,日本Chemi-con,170
10,被動元件,3230,日,6996,6996.JP,Nichicon,210
10,被動元件,3230,韓,009150,009150.KS,三星電機,3
10,被動元件,3230,韓,043260,043260.KS,成湖電子,54
10,被動元件,3230,韓,001820,001820.KS,三和電容,61
10,被動元件,3230,韓,009155,009155.KS,三星電機優先股,90
10,被動元件,3230,韓,011230,011230.KS,三和電子,108
10,被動元件,3230,陸,sz300408,300408.SZ,三環集團,33
10,被動元件,3230,陸,sz000636,000636.SZ,風華高科,85
10,被動元件,3230,陸,sz300319,300319.SZ,麥捷科技,142
10,被動元件,3230,陸,sz002484,002484.SZ,江海股份,149
10,被動元件,3230,陸,sh603678,603678.SH,火炬電子,158
11,AI伺服器,2827,台,3661,3661.TW,,16
11,AI伺服器,2827,台,3017,3017.TW,,18
11,AI伺服器,2827,台,2317,2317.TW,,20
11,AI伺服器,2827,台,6669,6669.TW,,29
11,AI伺服器,2827,台,2382,2382.TW,,54
11,AI伺服器,2827,台,3665,3665.TW,,65
11,AI伺服器,2827,台,3653,3653.TW,,69
11,AI伺服器,2827,台,2059,2059.TW,,85
11,AI伺服器,2827,台,5274,5274.TW,,103
11,AI伺服器,2827,台,3706,3706.TW,,114
11,AI伺服器,2827,台,3324,3324.TW,,163
11,AI伺服器,2827,台,6781,6781.TW,,168
11,AI伺服器,2827,台,2376,2376.TW,,173
11,AI伺服器,2827,台,8210,8210.TW,,216
11,AI伺服器,2827,美,DELL,DELL.US,戴爾,48
11,AI伺服器,2827,美,VRT,VRT.US,維諦技術(Vertiv),70
11,AI伺服器,2827,美,ANET,ANET.US,Arista Networks,81
11,AI伺服器,2827,美,SMCI,SMCI.US,美超微(Super Micro),109
11,AI伺服器,2827,美,HPE,HPE.US,慧與(HPE),163
11,AI伺服器,2827,日,4062,4062.JP,Ibiden,8
11,AI伺服器,2827,韓,007660,007660.KS,Isu Petasys,44
11,AI伺服器,2827,陸,sh601138,601138.SH,工業富聯,47
11,AI伺服器,2827,陸,sh603019,603019.SH,中科曙光,54
11,AI伺服器,2827,陸,sz000977,000977.SZ,浪潮信息,72
11,AI伺服器,2827,陸,sz002335,002335.SZ,科華數據,575
12,半導體材料,2818,台,1785,1785.TW,,44
12,半導體材料,2818,台,1717,1717.TW,,58
12,半導體材料,2818,台,8028,8028.TW,,70
12,半導體材料,2818,台,1560,1560.TW,,299
12,半導體材料,2818,美,ENTG,ENTG.US,英特格(Entegris),140
12,半導體材料,2818,美,Q,Q.US,Qnity Electronics(DuPont分拆),346
12,半導體材料,2818,日,4004,4004.JP,Resonac,29
12,半導體材料,2818,日,7741,7741.JP,豪雅(HOYA),53
12,半導體材料,2818,日,6971,6971.JP,京瓷(Kyocera),59
12,半導體材料,2818,日,4901,4901.JP,富士膠片,74
12,半導體材料,2818,日,6890,6890.JP,Ferrotec,115
12,半導體材料,2818,韓,093370,093370.KS,後成,63
12,半導體材料,2818,韓,005290,005290.KS,東進世美肯,164
12,半導體材料,2818,韓,357780,357780.KS,Soulbrain,181
12,半導體材料,2818,韓,014680,014680.KS,韓松化學,218
12,半導體材料,2818,韓,064760,064760.KS,TCK,229
12,半導體材料,2818,陸,sz002409,002409.SZ,雅克科技,36
12,半導體材料,2818,陸,sz300346,300346.SZ,南大光電,37
12,半導體材料,2818,陸,sz300285,300285.SZ,國瓷材料,44
12,半導體材料,2818,陸,sh600378,600378.SH,昊華科技,49
12,半導體材料,2818,陸,sz300666,300666.SZ,江豐電子,62
13,機器人/自動化,2598,台,2464,2464.TW,,80
13,機器人/自動化,2598,台,1590,1590.TW,,174
13,機器人/自動化,2598,台,2049,2049.TW,,195
13,機器人/自動化,2598,美,ISRG,ISRG.US,直覺外科(Intuitive Surgical),96
13,機器人/自動化,2598,美,JOBY,JOBY.US,Joby Aviation,286
13,機器人/自動化,2598,美,ROK,ROK.US,羅克韋爾自動化(Rockwell),353
13,機器人/自動化,2598,日,6861,6861.JP,基恩斯(Keyence),39
13,機器人/自動化,2598,日,6506,6506.JP,安川電機,40
13,機器人/自動化,2598,日,6324,6324.JP,哈默尼克(Harmonic Drive),41
13,機器人/自動化,2598,日,6273,6273.JP,SMC,45
13,機器人/自動化,2598,日,6954,6954.JP,發那科(Fanuc),46
13,機器人/自動化,2598,韓,454910,454910.KS,斗山機器人,115
13,機器人/自動化,2598,韓,098460,098460.KS,Koh Young,126
13,機器人/自動化,2598,韓,277810,277810.KS,Rainbow Robotics,128
13,機器人/自動化,2598,韓,108490,108490.KS,Robotis,129
13,機器人/自動化,2598,韓,319400,319400.KS,現代Moobex,163
13,機器人/自動化,2598,陸,sh688017,688017.SH,綠的諧波,21
13,機器人/自動化,2598,陸,sz300124,300124.SZ,匯川技術,64
13,機器人/自動化,2598,陸,sz300503,300503.SZ,昊志機電,91
13,機器人/自動化,2598,陸,sz002747,002747.SZ,埃斯頓,92
13,機器人/自動化,2598,陸,sz300607,300607.SZ,拓斯達,109
14,傳統消費,2377,台,1216,1216.TW,,180
14,傳統消費,2377,台,2912,2912.TW,,224
14,傳統消費,2377,美,PEP,PEP.US,百事(PepsiCo),67
14,傳統消費,2377,美,KO,KO.US,可口可樂,83
14,傳統消費,2377,美,CVS,CVS.US,CVS Health,235
14,傳統消費,2377,美,MNST,MNST.US,,246
14,傳統消費,2377,美,MDLZ,MDLZ.US,,251
14,傳統消費,2377,日,9983,9983.JP,迅銷(優衣庫),15
14,傳統消費,2377,日,2914,2914.JP,日本菸草(JT),47
14,傳統消費,2377,日,2802,2802.JP,味之素,57
14,傳統消費,2377,日,7453,7453.JP,良品計畫(無印良品),58
14,傳統消費,2377,日,8267,8267.JP,永旺(Aeon),81
14,傳統消費,2377,韓,278470,278470.KS,APR,43
