code,name,market
6409,旭隼,上市
6412,群電,上市
6414,樺漢,上市
6415,矽力*-KY,上市
6416,瑞祺電通,上市
6426,統新,上市
6431,光麗-KY,上市
6438,迅得,上市
6442,光聖,上市
6443,元晶,上市
6446,藥華藥,上市
6449,鈺邦,上市
6451,訊芯-KY,上市
6456,GIS-KY,上市
6464,台數科,上市
6472,保瑞,上市
6477,安集,上市
6491,晶碩,上市
6504,南六,上市
6505,台塑化,上市
6515,穎崴,上市
6525,捷敏-KY,上市
6526,達發,上市
6531,愛普*,上市
6533,晶心科,上市
6541,泰福-KY,上市
6550,北極星藥業-KY,上市
6552,易華電,上市
6558,興能高,上市
6573,虹揚-KY,上市
6579,研揚,上市
6581,鋼聯,上市
6582,申豐,上市
6585,鼎基,上市
6589,台康生技,上市
6591,動力-KY,上市
6592,和潤企業,上市
6598,ABC-KY,上市
6605,帝寶,上市
6606,建德工業,上市
6614,資拓宏宇,上市
6625,必應,上市
6641,基士德-KY,上市
6655,科定,上市
6657,華安,上市
6658,聯策,上市
6666,羅麗芬-KY,上市
6668,中揚光,上市
6669,緯穎,上市
6670,復盛應用,上市
6671,三能-KY,上市
6672,騰輝電子-KY,上市
6674,鋐寶科技,上市
6689,伊雲谷,上市
6691,洋基工程,上市
6695,芯鼎,上市
6698,旭暉應材,上市
6706,惠特,上市
6715,嘉基,上市
6719,力智,上市
6722,輝創,上市
6742,澤米,上市
6743,安普新,上市
6753,龍德造船,上市
6754,匯僑設計,上市
6756,威鋒電子,上市
6757,台灣虎航,上市
6768,志強-KY,上市
6770,力積電,上市
6776,展�眥篕�,上市
6781,AES-KY,上市
6782,視陽,上市
6789,采鈺,上市
6790,永豐實,上市
6792,詠業,上市
6794,向榮生技,上市
6796,晉弘,上市
6799,來頡,上市
6805,富世達,上市
6807,峰源-KY,上市
6830,汎銓,上市
6831,邁科,上市
6834,天二科技,上市
6835,圓裕,上市
6838,台新藥,上市
6861,睿生光電,上市
6862,三集瑞-KY,上市
6863,永道-KY,上市
6869,雲豹能源,上市
6873,泓德能源,上市
6885,全福生技,上市
6887,寶綠特-KY,上市
6890,來億-KY,上市
6901,鑽石投資,上市
6902,GOGOLOOK,上市
6906,現觀科,上市
6909,創控,上市
6914,阜爾運通,上市
6916,華凌,上市
6918,愛派司,上市
6919,康霈*,上市
6923,中台,上市
6928,攸泰科技,上市
6931,青松健康,上市
6933,AMAX-KY,上市
6934,心誠鎂,上市
6936,永鴻生技,上市
6937,天虹,上市
6944,兆聯實業,上市
6952,大武山,上市
6957,裕慶-KY,上市
6958,日盛台駿,上市
6962,奕力-KY,上市
6965,中傑-KY,上市
6994,富威電力,上市
7705,三商餐飲,上市
7711,永擎,上市
7721,微程式,上市
7722,LINEPAY,上市
7732,金興精密,上市
7736,虎山,上市
7749,意騰-KY,上市
7750,新代,上市
7760,享溫馨,上市
7765,中華資安,上市
7768,頌勝科技,上市
7769,鴻勁,上市
7780,大研生醫*,上市
7786,東方風能,上市
7788,松川精密,上市
7791,皇家可口,上市
7795,長廣,上市
7799,禾榮科,上市
7818,溢泰實業,上市
7821,神數,上市
7822,倍利科,上市
8011,台通,上市
8016,矽創,上市
8021,尖點,上市
8028,昇陽半導體,上市
8033,雷虎,上市
8039,台虹,上市
8045,達運光電,上市
8046,南電,上市
8070,長華*,上市
8072,陞泰,上市
8081,致新,上市
8101,華冠,上市
8103,瀚荃,上市
8104,錸寶,上市
8105,凌巨,上市
8110,華東,上市
8112,至上,上市
8114,振樺電,上市
8131,福懋科,上市
8150,南茂,上市
8163,達方,上市
8201,無敵,上市
8210,勤誠,上市
8213,志超,上市
8215,明基材,上市
8222,寶一,上市
8249,菱光,上市
8261,富鼎,上市
8271,宇瞻,上市
8341,日友,上市
8367,建新國際,上市
8374,羅昇,上市
8404,百和興業-KY,上市
8411,福貞-KY,上市
8422,可寧衛*,上市
8429,金麗-KY,上市
8438,昶昕,上市
8442,威宏-KY,上市
8443,阿瘦,上市
8454,富邦媒,上市
8462,柏文,上市
8463,潤泰材,上市
8464,億豐,上市
8466,美吉吉-KY,上市
8467,波力-KY,上市
8473,山林水,上市
8476,台境*,上市
8478,東哥遊艇,上市
8481,政伸,上市
8482,商億-KY,上市
8488,吉源-KY,上市
8499,鼎炫-KY,上市
8926,台汽電,上市
8940,新天地,上市
8996,高力,上市
9802,鈺齊-KY,上市
9902,台火,上市
9904,寶成,上市
9905,大華,上市
9906,欣巴巴,上市
9907,統一實,上市
9908,大台北,上市
9910,豐泰,上市
9911,櫻花,上市
9912,偉聯,上市
9914,美利達,上市
9917,中保科,上市
9918,欣天然,上市
9919,康那香,上市
9921,巨大,上市
9924,福興,上市
9925,新保,上市
9926,新海,上市
9927,泰銘,上市
9928,中視,上市
9929,秋雨,上市
9930,中聯資源,上市
9931,欣高,上市
9933,中鼎,上市
9934,成霖,上市
9935,慶豐富,上市
9937,全國,上市
9938,百和,上市
9939,宏全,上市
9940,信義,上市
9941,裕融,上市
9942,茂順,上市
9943,好樂迪,上市
9944,新麗,上市
9945,潤泰新,上市
9946,三發地產,上市
9955,佳龍,上市
9958,世紀鋼,上市
1240,茂生農經,上櫃
1259,安心,上櫃
1264,德麥,上櫃
1268,漢來美食,上櫃
1294,漢田生技,上櫃
1295,生合,上櫃
1336,台翰,上櫃
1565,精華,上櫃
1569,濱川,上櫃
1570,力肯,上櫃
1580,新麥,上櫃
1584,精剛,上櫃
1586,和勤,上櫃
1591,駿吉-KY,上櫃
1593,祺驊,上櫃
1595,川寶,上櫃
1599,宏佳騰,上櫃
1742,台蠟,上櫃
1777,生泰,上櫃
1780,立弘,上櫃
1781,合世,上櫃
1784,訊聯,上櫃
1785,光洋科,上櫃
1788,杏昌,上櫃
1796,金穎生技,上櫃
1799,易威,上櫃
1813,寶利徠,上櫃
1815,富喬,上櫃
2035,唐榮,上櫃
2061,風青,上櫃
2063,世鎧,上櫃
2064,晉椿,上櫃
2065,世豐,上櫃
2066,世德,上櫃
2067,嘉鋼,上櫃
2070,精湛,上櫃
2073,雄順,上櫃
2221,大甲,上櫃
2230,泰茂,上櫃
2235,謚源,上櫃
2596,綠意,上櫃
2640,大車隊,上櫃
2641,正德,上櫃
2643,捷迅,上櫃
2718,全心投控,上櫃
2719,燦星旅,上櫃
2724,藝舍-KY,上櫃
2726,雅茗-KY,上櫃
2729,瓦城,上櫃
2732,六角,上櫃
2734,易飛網,上櫃
2736,富野,上櫃
2740,華軒,上櫃
2743,山富,上櫃
