code,name,market,amount_krw,rank
037070,파세코,KOSDAQ,30267652015,134
069960,현대백화점,KOSPI,29790582550,135
095500,미래나노텍,KOSDAQ,29533374880,136
033780,KT&G,KOSPI,29290684650,137
267270,HD건설기계,KOSPI,29159891850,138
010060,OCI홀딩스,KOSPI,29051568700,139
010960,삼호개발,KOSPI,28700148977,140
011790,SKC,KOSPI,28551154000,141
079650,서산,KOSDAQ,28504069734,142
003550,LG,KOSPI,27828777850,143
005950,이수화학,KOSPI,27313942415,144
082740,한화엔진,KOSPI,26590747275,145
086280,현대글로비스,KOSPI,26442179550,146
005940,NH투자증권,KOSPI,25751344975,147
031980,피에스케이홀딩스,KOSDAQ,25459279500,148
375500,DL이앤씨,KOSPI,25387780250,149
257720,실리콘투,KOSDAQ,25124398275,150
131290,티에스이,KOSDAQ,24678883000,151
024110,기업은행,KOSPI,24475667100,152
066970,엘앤에프,KOSPI,23678477850,153
032820,우리기술,KOSDAQ,23545422845,154
071970,HD현대마린엔진,KOSPI,23320070350,155
103590,일진전기,KOSPI,22923088650,156
122350,삼기,KOSDAQ,22784780065,157
138930,BNK금융지주,KOSPI,22628871535,158
443060,HD현대마린솔루션,KOSPI,22492369500,159
069620,대웅제약,KOSPI,22171303500,160
001040,CJ,KOSPI,22097592100,161
122640,예스티,KOSDAQ,21981198050,162
319400,현대무벡스,KOSDAQ,21738458675,163
005290,동진쎄미켐,KOSDAQ,21717833600,164
195870,해성디에스,KOSPI,21681542600,165
170920,엘티씨,KOSDAQ,21519053100,166
078930,GS,KOSPI,21343741700,167
001210,금호전기,KOSPI,21122766930,168
000250,삼천당제약,KOSDAQ,20713707250,169
005830,DB손해보험,KOSPI,20653407700,170
007810,코리아써키트,KOSPI,20518338550,171
096770,SK이노베이션,KOSPI,20261732850,172
028300,HLB,KOSDAQ,20072000150,173
322000,HD현대에너지솔루션,KOSPI,20025427450,174
034230,파라다이스,KOSPI,19962629295,175
018880,한온시스템,KOSPI,19772357394,176
0126Z0,삼성에피스홀딩스,KOSPI,19363359000,177
112610,씨에스윈드,KOSPI,19136811200,178
008770,호텔신라,KOSPI,18912086600,179
336260,두산퓨얼셀,KOSPI,18705335650,180
357780,솔브레인,KOSDAQ GLOBAL,18605373000,181
323410,카카오뱅크,KOSPI,18526165550,182
000100,유한양행,KOSPI,18403197350,183
030200,KT,KOSPI,18291920650,184
005387,현대차2우B,KOSPI,18065600000,185
019210,와이지-원,KOSDAQ,17820182075,186
001740,SK네트웍스,KOSPI,17614678360,187
013360,일성건설,KOSPI,17341548164,188
035890,서희건설,KOSDAQ,17337677416,189
228340,동양파일,KOSDAQ,17319380586,190
0017J0,세미티에스,KOSDAQ,17297773679,191
031330,에스에이엠티,KOSDAQ,16991984415,192
267250,HD현대,KOSPI,16907943800,193
010130,고려아연,KOSPI,16829323500,194
014910,성문전자,KOSPI,16756975894,195
119850,지엔씨에너지,KOSDAQ,16631218675,196
476830,알지노믹스,KOSDAQ,16525597025,197
420770,기가비스,KOSDAQ,16228370750,198
023530,롯데쇼핑,KOSPI,16177222650,199
397030,에이프릴바이오,KOSDAQ,16099336950,200
259960,크래프톤,KOSPI,15972986500,201
087010,펩트론,KOSDAQ,15832485750,202
290690,소룩스,KOSDAQ,15565050161,203
450080,에코프로머티,KOSPI,15549436150,204
021240,코웨이,KOSPI,15125624400,205
036570,NC,KOSPI,15092197250,206
356860,티엘비,KOSDAQ,14729629600,207
144960,뉴파워프라즈마,KOSDAQ,14678403335,208
025950,동신건설,KOSDAQ,14562253175,209
078600,대주전자재료,KOSDAQ,14423646300,210
033100,제룡전기,KOSDAQ GLOBAL,14225631650,211
183300,코미코,KOSDAQ,14131423000,212
00680K,미래에셋증권2우B,KOSPI,14065161185,213
225530,HC보광산업,KOSDAQ,13655134219,214
310210,보로노이,KOSDAQ,13394379500,215
001450,현대해상,KOSPI,13321697025,216
006345,대원전선우,KOSPI,13305262235,217
014680,한솔케미칼,KOSPI,13238397500,218
218410,RFHIC,KOSDAQ,13155138550,219
214150,클래시스,KOSDAQ GLOBAL,13110311550,220
011200,HMM,KOSPI,13048441170,221
088980,맥쿼리인프라,KOSPI,12949054525,222
000890,보해양조,KOSPI,12895363860,223
161390,한국타이어앤테크놀로지,KOSPI,12850071900,224
007610,선도전기,KOSPI,12692670205,225
295310,에이치브이엠,KOSDAQ,12631313000,226
180640,한진칼,KOSPI,12485998100,227
139480,이마트,KOSPI,12338734150,228
064760,티씨케이,KOSDAQ GLOBAL,12025563000,229
126340,비나텍,KOSDAQ,11813871150,230
241560,두산밥캣,KOSPI,11797347400,231
002380,KCC,KOSPI,11711971500,232
271560,오리온,KOSPI,11632958650,233
000880,한화,KOSPI,11612435450,234
058610,에스피지,KOSDAQ,11565283600,235
036540,SFA반도체,KOSDAQ,11467972631,236
489790,한화비전,KOSPI,11361918250,237
004020,현대제철,KOSPI,11321667300,238
192820,코스맥스,KOSPI,11276251900,239
237690,에스티팜,KOSDAQ GLOBAL,11272524700,240
090360,로보스타,KOSDAQ,11085403200,241
005385,현대차우,KOSPI,11046022000,242
456160,지투지바이오,KOSDAQ,10969360475,243
030530,원익홀딩스,KOSDAQ,10948092655,244
023410,유진기업,KOSDAQ,10803526332,245
052690,한전기술,KOSPI,10747363450,246
097230,HJ중공업,KOSPI,10716375725,247
121440,골프존홀딩스,KOSDAQ,10675391110,248
033160,엠케이전자,KOSDAQ,10563828595,249
082920,비츠로셀,KOSDAQ GLOBAL,10554719825,250
458870,씨어스,KOSDAQ,10505369075,251
145020,휴젤,KOSDAQ,10398981750,252
