code,name,amount_cny,rank
sz002361,神剑股份,1935367519.0,351
sz300903,科翔股份,1935341907.0,352
sh600226,亨通股份,1932228418.0,353
sz300260,新莱应材,1932213382.0,354
sh600259,中稀有色,1916200984.0,355
sz300024,机器人,1912863226.0,356
sz002980,华盛昌,1904711905.0,357
sh688777,中控技术,1901627177.0,358
sh600989,宝丰能源,1893190247.0,359
sh688387,信科移动,1888868684.0,360
sz301205,联特科技,1887002870.0,361
sz300953,震裕科技,1884376060.0,362
sh603379,三美股份,1883300869.0,363
sh688333,铂力特,1880669078.0,364
sh601601,中国太保,1877643412.0,365
sh600143,金发科技,1876233402.0,366
sz000970,中科三环,1872732335.0,367
sz002859,洁美科技,1872479752.0,368
sh600396,华电辽能,1868680316.0,369
sz301095,广立微,1862140718.0,370
sz300718,长盛轴承,1861468123.0,371
sz300323,华灿光电,1859865292.0,372
sh600360,华微电子,1859063099.0,373
sz002965,祥鑫科技,1846364965.0,374
sz300316,晶盛机电,1839653791.0,375
sz000700,模塑科技,1833422133.0,376
sh603823,百合花,1830585103.0,377
sz002812,恩捷股份,1820720554.0,378
sh688102,斯瑞新材,1817725689.0,379
sh688270,ST臻镭,1816914816.0,380
sh601678,滨化股份,1816788729.0,381
sh688147,微导纳米,1816522942.0,382
sz301005,超捷股份,1816059357.0,383
sz300077,国民技术,1814168450.0,384
sz300204,舒泰神,1810012672.0,385
sh688234,天岳先进,1809110549.0,386
sh688545,兴福电子,1799702427.0,387
sh603466,风语筑,1793581365.0,388
sh600961,株冶集团,1790472772.0,389
sz300458,全志科技,1787739883.0,390
sh600089,XD特变电,1782603638.0,391
sh600938,中国海油,1780876451.0,392
sz000519,中兵红箭,1780146720.0,393
sz002222,福晶科技,1779400006.0,394
sh688268,华特气体,1775932012.0,395
sz300131,英唐智控,1770506624.0,396
sh601126,四方股份,1761887700.0,397
sz301232,飞沃科技,1759342926.0,398
sh603296,华勤技术,1757660953.0,399
sz301611,珂玛科技,1755876716.0,400
sz300438,鹏辉能源,1754994088.0,401
sh688531,日联科技,1752030492.0,402
sh600418,江淮汽车,1751759582.0,403
sz002342,巨力索具,1741250405.0,404
sh601100,恒立液压,1736355002.0,405
sz300760,迈瑞医疗,1735279184.0,406
sh688301,奕瑞科技,1730389812.0,407
sz300085,银之杰,1728040285.0,408
sz002517,恺英网络,1722052390.0,409
sz301236,软通动力,1721054394.0,410
sh603800,洪田股份,1711709328.0,411
sh601995,中金公司,1706721621.0,412
sh688411,海博思创,1706331144.0,413
sz000703,恒逸石化,1704415805.0,414
sz300450,先导智能,1704250857.0,415
sz301191,菲菱科思,1699984947.0,416
sz001389,广合科技,1697712904.0,417
sz001696,宗申动力,1696977452.0,418
sz300209,行云科技,1693906401.0,419
sh600521,华海药业,1690858613.0,420
sh688818,电科蓝天,1682225010.0,421
sh601225,陕西煤业,1676892894.0,422
sz002971,和远气体,1674009844.0,423
sh603119,浙江荣泰,1671172536.0,424
sz000603,盛达资源,1670897022.0,425
sz000506,招金黄金,1670735655.0,426
sz000823,超声电子,1666681918.0,427
sz002559,亚威股份,1663256525.0,428
sz300145,南方泵业,1652972845.0,429
sh688668,鼎通科技,1647208869.0,430
sh603601,再升科技,1644403354.0,431
sz002241,歌尔股份,1643983183.0,432
sh603308,应流股份,1642698248.0,433
sz300436,广生堂,1637334946.0,434
sh688336,三生国健,1634276268.0,435
sh603203,快克智能,1628418349.0,436
sh688002,睿创微纳,1623009569.0,437
sh688728,格科微,1620811470.0,438
sz300806,斯迪克,1620676477.0,439
sh600887,伊利股份,1609218196.0,440
sz300342,天银机电,1606899021.0,441
sh600459,贵研铂业,1605239729.0,442
sz300102,乾照光电,1599375075.0,443
sh601168,西部矿业,1593237610.0,444
sh600531,豫光金铅,1588469635.0,445
sz300302,同有科技,1587900833.0,446
sz300870,欧陆通,1587444153.0,447
sz000301,东方盛虹,1586288017.0,448
sz301171,易点天下,1585252784.0,449
sh601628,中国人寿,1585075925.0,450
sh603290,斯达半导,1582358982.0,451
sh603002,宏昌电子,1577938912.0,452
sh601698,中国卫通,1575966780.0,453
sh688213,思特威,1572676936.0,454
sh601127,赛力斯,1562163672.0,455
sh603087,甘李药业,1561694395.0,456
sz300782,卓胜微,1557024328.0,457
sh603663,三祥新材,1550800292.0,458
bj920438,戈碧迦,1549594955.0,459
sh600186,莲花控股,1543355342.0,460
sz300042,朗科科技,1535823905.0,461
sh601066,中信建投,1534029337.0,462
sz002001,新 和 成,1532475287.0,463
sz300420,五洋自控,1532081495.0,464
sz002402,和而泰,1520588161.0,465
sh600426,华鲁恒升,1511710409.0,466
sz300236,上海新阳,1511209872.0,467
sz002249,大洋电机,1505797638.0,468
sh600660,福耀玻璃,1504469985.0,469
sz301550,斯菱智驱,1496055814.0,470
sz300803,指南针,1495237021.0,471
sh600885,宏发股份,1494797016.0,472
sh603459,红板科技,1478798059.0,473
sh603688,石英股份,1478447162.0,474
sh601179,中国西电,1477242474.0,475
sh601328,交通银行,1475209375.0,476
sh603950,长源东谷,1473253208.0,477
sh600026,中远海能,1464387420.0,478
sh688536,思瑞浦,1464233655.0,479
sh601888,中国中免,1464005378.0,480
sh688506,百利天恒,1446595483.0,481
sh688047,龙芯中科,1446483082.0,482
sz002635,安洁科技,1439859083.0,483
sz002579,中京电子,1435083371.0,484
sh603061,金海通,1434548373.0,485
sh600563,法拉电子,1428514330.0,486
sh688220,翱捷科技,1427120248.0,487
sz002929,润建股份,1425590438.0,488
sh600366,宁波韵升,1419444754.0,489
sz002230,科大讯飞,1408920665.0,490
sz002340,格林美,1406633809.0,491
sz000559,万向钱潮,1405881613.0,492
sh600406,国电南瑞,1400463148.0,493
sz000933,神火股份,1400016714.0,494
sh688099,晶晨股份,1399525743.0,495
sz002520,日发精机,1398059807.0,496
sh600343,航天动力,1394206370.0,497
sh601233,桐昆股份,1394015267.0,498
sz000592,平潭发展,1393907493.0,499
sz300347,泰格医药,1391403170.0,500
sh600028,中国石化,1388191182.0,501
sh688380,中微半导,1387055221.0,502
sh688676,金盘科技,1381145127.0,503
sz300142,沃森生物,1380320129.0,504
sz301607,富特科技,1376173137.0,505
sz300065,海兰信,1374106471.0,506
sz002131,利欧股份,1369415339.0,507
sz002272,川润股份,1368278756.0,508
sh601636,旗滨集团,1366357205.0,509
sz300765,石药创新,1363004885.0,510
sz002465,海格通信,1354810232.0,511
sz002617,露笑科技,1352149728.0,512
sh688388,嘉元科技,1352073181.0,513
sh603690,至纯科技,1351587893.0,514
sz301013,利和兴,1348917185.0,515
sh688385,XD复旦微,1344594818.0,516
sh603929,亚翔集成,1340018986.0,517
sz300184,力源信息,1337784636.0,518
sz300706,阿石创,1333869195.0,519
sz300263,隆华科技,1331498118.0,520
sh605117,德业股份,1326469415.0,521
sh688809,强一股份,1316061497.0,522
sh600809,山西汾酒,1311738912.0,523
sh688662,富信科技,1308801854.0,524
sh603505,金石资源,1304338277.0,525
sh603938,三孚股份,1298963851.0,526
sz002497,雅化集团,1296060055.0,527
sh688449,联芸科技,1292980981.0,528
sh688068,热景生物,1289900139.0,529
sz301358,湖南裕能,1286270546.0,530
sh688180,君实生物,1285917477.0,531
sh688802,沐曦股份,1283990146.0,532
sh600063,皖维高新,1280499314.0,533
sz300456,赛微电子,1279179950.0,534
sz002739,儒意电影,1276585242.0,535
sz002458,益生股份,1275237115.0,536
sh688795,摩尔线程,1273806831.0,537
sz300623,捷捷微电,1271626165.0,538
sh600196,复星医药,1271215481.0,539
sz000408,藏格矿业,1268424433.0,540
sh601988,中国银行,1267772794.0,541
sz002173,创新医疗,1265430081.0,542
sh688359,三孚新科,1263622582.0,543
sh603728,鸣志电器,1259299946.0,544
sh688205,德科立,1257879766.0,545
sz002654,万润科技,1257253102.0,546
sh688378,奥来德,1254127680.0,547
sz000620,盈新发展,1252178272.0,548
sz002815,崇达技术,1251880893.0,549
sh688343,云天励飞,1250213028.0,550
sz002046,国机精工,1248590332.0,551
sh601857,中国石油,1245887388.0,552
sz002027,分众传媒,1245112334.0,553
sz300580,贝斯特,1239748002.0,554
sh688689,银河微电,1238065315.0,555
sh603011,合锻智能,1237521989.0,556
sh601069,西部黄金,1235802946.0,557
sh688111,金山办公,1235469375.0,558
sz301307,美利信,1233878513.0,559
