code,name,market,industry
7865,金聯成,興櫃,綠能環保
7866,丹立,興櫃,半導體業
7867,特力屋,興櫃,居家生活
7868,聖育,興櫃,資訊服務業
7869,宏于電機,興櫃,電機機械
7870,聯剛科技,興櫃,其他電子業
7871,安立璽榮-KY,興櫃,生技醫療業
7872,登豐,興櫃,半導體業
7873,瑞峰,興櫃,半導體業
7875,安圖斯,興櫃,電腦及週邊設備業
7876,鼎晉生技,興櫃,生技醫療業
7877,海利普,興櫃,綠能環保
7878,藥祇,興櫃,生技醫療業
7879,益材科技,興櫃,電機機械
7880,聖凰,興櫃,半導體業
7881,科明,興櫃,生技醫療業
7882,倍利創投,興櫃,其他業
7883,饗賓,興櫃,觀光餐旅
7885,宏羚,興櫃,其他電子業
7886,科建,興櫃,半導體業
7887,宇川精材,興櫃,半導體業
7888,麗寶新藥,興櫃,生技醫療業
7889,騰勢,興櫃,食品工業
7890,明曜科技,興櫃,綠能環保
7891,博研醫藥,興櫃,生技醫療業
7892,元鈦科,興櫃,電腦及週邊設備業
7893,睿信,興櫃,電子零組件業
7894,瀚軒,興櫃,半導體業
7895,元進莊,興櫃,農業科技業
7896,喬越,興櫃,電子零組件業
7897,禾迅綠電,興櫃,綠能環保
7898,乾瞻,興櫃,半導體業
7899,景美,興櫃,半導體業
7901,大大寬頻,興櫃,通信網路業
7902,宇越生醫*,興櫃,生技醫療業
7904,任開數位,興櫃,數位雲端
7907,錸恩帕斯,興櫃,其他電子業
7909,鈺祥,興櫃,半導體業
7911,阿波羅電力,興櫃,綠能環保
7912,新聿科,興櫃,電子零組件業
7913,通寶半導體,興櫃,半導體業
7915,廌家,興櫃,通信網路業
7918,創鉅材料,興櫃,半導體業
7919,禾蒼,興櫃,光電業
7920,瀚陽*,興櫃,生技醫療業
7921,台普威,興櫃,綠能環保
7922,源點*,興櫃,綠能環保
7924,TLC-KY,興櫃,生技醫療業
7926,中華立鼎,興櫃,光電業
7927,連距電機,興櫃,電機機械
7928,合聖科技*,興櫃,通信網路業
7929,碩通,興櫃,電腦及週邊設備業
7931,續升綠能,興櫃,綠能環保
8058,耐特,興櫃,其他電子業
8098,慶康科技,興櫃,半導體業
8119,公信,興櫃,電腦及週邊設備業
8298,威睿,興櫃,資訊服務業
8329,台視,興櫃,文化創意業
8345,超秦,興櫃,農業科技業
8359,錢櫃,興櫃,觀光餐旅
8458,影一,興櫃,文化創意業
8999,台灣積層,興櫃,其他業
9957,燁聯,興櫃,鋼鐵工業
